NumRecords,timeForLast100000Records(ms)
100000,2664
200000,1530
300000,1525
400000,1441
500000,1437
600000,1552
700000,1655
800000,1483
900000,1395
1000000,1456
1100000,1479
1200000,1400
1300000,5333
1400000,4260
1500000,3354
1600000,3038
1700000,2798
1800000,2817
1900000,2526
2000000,2356
2100000,2325
2200000,2274
2300000,2229
2400000,2070
2500000,2113
2600000,1981
2700000,1954
2800000,1721
2900000,1714
3000000,1793
3100000,1908
3200000,1811
3300000,1812
3400000,1947
3500000,4187
3600000,3208
3700000,3113
3800000,3048
3900000,3060
4000000,2876
4100000,2777
4200000,3130
4300000,2698
4400000,2836
4500000,2602
4600000,2661
4700000,2536
4800000,2564
4900000,2476
5000000,2435
5100000,2424
5200000,2322
5300000,2251
5400000,2567
5500000,2330
5600000,2153
5700000,4127
5800000,2996
5900000,2797
6000000,3222
6100000,3426
6200000,2894
6300000,2273
6400000,2215
6500000,1799
6600000,2118
6700000,1837
6800000,1863
6900000,1399
7000000,1698
7100000,2024
7200000,2064
7300000,2115
7400000,2316
7500000,2340
7600000,2309
7700000,2322
7800000,3089
7900000,3111
8000000,3304
8100000,2937
8200000,2484
8300000,2904
8400000,2881
8500000,3058
8600000,3074
8700000,2885
8800000,2814
8900000,2853
9000000,2750
9100000,2726
9200000,5413
9300000,3883
9400000,3645
9500000,3946
9600000,3878
9700000,3797
9800000,4547
9900000,3942
10000000,3839
10100000,3768
10200000,3753
10300000,3710
10400000,3726
10500000,3729
10600000,3806
10700000,3623
10800000,3735
10900000,3633
11000000,3569
11100000,3633
11200000,3807
11300000,4094
11400000,3785
11500000,3854
11600000,3923
11700000,3813
11800000,3755
11900000,5520
12000000,4835
12100000,4842
12200000,4742
12300000,4880
12400000,4751
12500000,4672
12600000,4651
12700000,4753
12800000,4730
12900000,4619
13000000,4718
13100000,4784
13200000,4744
13300000,4848
13400000,4731
13500000,4578
13600000,4920
13700000,4706
13800000,4574
13900000,4564
14000000,4690
14100000,4462
14200000,5023
14300000,4907
14400000,4831
14500000,4757
14600000,4636
14700000,4720
14800000,4856
14900000,7007
15000000,5749
15100000,5696
15200000,5824
15300000,5930
15400000,5575
15500000,5487
15600000,5373
15700000,5490
15800000,5791
15900000,6690
16000000,5470
16100000,5846
16200000,5544
16300000,5887
16400000,5787
16500000,5705
16600000,5663
16700000,5631
16800000,5820
16900000,5627
17000000,6001
17100000,5769
17200000,5692
17300000,5370
17400000,5569
17500000,5430
17600000,5646
17700000,5728
17800000,5606
17900000,5642
18000000,5252
18100000,5931
18200000,7140
18300000,9270
18400000,6653
18500000,6531
18600000,6572
18700000,6452
18800000,6789
18900000,6591
19000000,6529
19100000,6787
19200000,6804
19300000,6786
19400000,6541
19500000,6772
19600000,5518
19700000,7158
19800000,6413
19900000,3983
20000000,5510
20100000,6538
20200000,6891
20300000,6549
20400000,7041
20500000,6739
20600000,6754
20700000,6936
20800000,6591
20900000,6937
21000000,6500
21100000,6399
21200000,6266
21300000,6347
21400000,6319
21500000,6364
21600000,6613
21700000,6391
21800000,6479
21900000,8048
22000000,7344
22100000,7404
22200000,7725
22300000,7507
22400000,8131
22500000,7553
22600000,7726
22700000,7608
22800000,7762
22900000,7818
23000000,7421
23100000,7474
23200000,7610
23300000,7266
23400000,7354
23500000,7402
23600000,7339
23700000,7414
23800000,7372
23900000,6800
24000000,7636
24100000,6884
24200000,7470
24300000,7458
24400000,7489
24500000,7191
24600000,7265
24700000,7356
24800000,7558
24900000,7661
25000000,7472
25100000,7755
25200000,7399
25300000,7337
25400000,7760
25500000,7432
25600000,9804
25700000,8537
25800000,8081
25900000,7029
26000000,8148
26100000,8062
26200000,8207
26300000,7907
26400000,8198
26500000,8252
26600000,7649
26700000,2630
26800000,8167
26900000,8218
27000000,7595
27100000,8890
27200000,8100
27300000,8333
27400000,7737
27500000,8731
27600000,7987
27700000,8375
27800000,8451
27900000,6995
28000000,7053
28100000,6366
28200000,5860
28300000,7574
28400000,7544
28500000,8082
28600000,8165
28700000,8342
28800000,8204
28900000,8617
29000000,8519
29100000,9092
29200000,8439
29300000,8352
29400000,8458
29500000,8127
29600000,8342
29700000,8284
29800000,8199
29900000,8339
30000000,11948
30100000,9760
30200000,9873
30300000,9634
30400000,9144
