NumRecords,timeForLast100000Records(ms)
100000,1173
200000,1046
300000,1027
400000,1033
500000,1004
600000,1019
700000,996
800000,1083
900000,976
1000000,1005
1100000,996
1200000,997
1300000,1015
1400000,1024
1500000,1196
1600000,1103
1700000,1030
1800000,1090
1900000,991
2000000,990
2100000,1002
2200000,982
2300000,996
2400000,974
2500000,1021
2600000,1015
2700000,988
2800000,1056
2900000,930
3000000,947
3100000,975
3200000,978
3300000,1027
3400000,996
3500000,1077
3600000,1060
3700000,1189
3800000,1095
3900000,1523
4000000,1172
4100000,1062
4200000,1231
4300000,1095
4400000,1223
4500000,1406
4600000,1301
4700000,1400
4800000,1086
4900000,1191
5000000,1474
5100000,1465
5200000,1185
5300000,1037
5400000,1011
5500000,1016
5600000,1142
5700000,1221
5800000,1325
5900000,1103
6000000,1058
6100000,1127
6200000,1029
6300000,1024
6400000,1102
6500000,1314
6600000,1082
6700000,1069
6800000,1062
6900000,1106
7000000,1274
7100000,1718
7200000,1264
7300000,1227
7400000,1314
7500000,1733
7600000,1263
7700000,1191
7800000,1047
7900000,1029
8000000,1033
8100000,1308
8200000,1243
8300000,1324
8400000,1336
8500000,1533
8600000,1090
8700000,1044
8800000,1028
8900000,1009
9000000,1397
9100000,1153
9200000,1145
9300000,1119
9400000,1159
9500000,1156
9600000,1112
9700000,1131
9800000,1137
9900000,1044
10000000,1060
10100000,1045
10200000,1033
10300000,1053
10400000,1032
10500000,1050
10600000,1027
10700000,1028
10800000,1028
10900000,1003
11000000,1052
11100000,1045
11200000,1047
11300000,1049
11400000,1042
11500000,1018
11600000,1027
11700000,1039
11800000,1028
11900000,1076
12000000,1058
12100000,1038
12200000,1078
12300000,1037
12400000,1062
12500000,1034
12600000,1029
12700000,1034
12800000,1042
12900000,1036
13000000,1056
13100000,1044
13200000,1036
13300000,1051
13400000,1032
13500000,1044
13600000,1025
13700000,1020
13800000,1009
13900000,1036
14000000,1021
14100000,1025
14200000,1039
14300000,1043
14400000,1045
14500000,1039
14600000,1020
14700000,1049
14800000,1038
14900000,1070
15000000,1039
15100000,1061
15200000,1049
15300000,1056
15400000,1104
15500000,1064
15600000,1045
15700000,1074
15800000,1036
15900000,1047
16000000,1048
16100000,1051
16200000,1033
16300000,1036
16400000,1057
16500000,1024
16600000,1050
16700000,1042
16800000,1054
16900000,1033
17000000,1061
17100000,1053
17200000,1064
17300000,1044
17400000,1041
17500000,1025
17600000,1047
17700000,1066
17800000,1026
17900000,1056
18000000,1050
18100000,1062
18200000,1331
18300000,1110
18400000,1035
18500000,1050
18600000,1049
18700000,1054
18800000,1050
18900000,1062
19000000,1044
19100000,1046
19200000,1045
19300000,1049
19400000,1039
19500000,1055
19600000,1049
19700000,1037
19800000,1049
19900000,1090
20000000,1165
20100000,1050
20200000,1055
20300000,1039
20400000,1069
20500000,1067
20600000,1076
20700000,1066
20800000,1056
20900000,1040
21000000,1058
21100000,1057
21200000,1046
21300000,1046
21400000,1073
21500000,1061
21600000,1045
21700000,1070
21800000,1052
21900000,1215
22000000,1471
22100000,1123
22200000,1118
22300000,1143
22400000,1101
22500000,1064
22600000,1090
22700000,1120
22800000,1081
22900000,1079
23000000,1049
23100000,1058
23200000,1061
23300000,1082
23400000,1062
23500000,1073
23600000,1052
23700000,1090
23800000,1058
23900000,1075
24000000,1076
24100000,1048
24200000,1087
24300000,1069
24400000,1066
24500000,1047
24600000,1066
24700000,1043
24800000,1072
24900000,1049
25000000,1069
25100000,1066
25200000,1087
25300000,1056
25400000,1081
25500000,1072
25600000,1075
25700000,1056
25800000,1057
25900000,1035
26000000,1074
26100000,1056
26200000,1075
26300000,1068
26400000,1081
26500000,1069
26600000,1045
26700000,902
26800000,1064
26900000,1052
27000000,1051
27100000,1080
27200000,1065
27300000,1085
27400000,1060
27500000,1072
27600000,1074
27700000,1069
27800000,1084
27900000,1062
28000000,1059
28100000,1036
28200000,1022
28300000,1060
28400000,1079
28500000,1070
28600000,1058
28700000,1070
28800000,1072
28900000,1088
29000000,1075
29100000,1071
29200000,1091
29300000,1076
29400000,1069
29500000,1075
29600000,1081
29700000,1074
29800000,1083
29900000,1086
30000000,1098
30100000,1077
30200000,1088
30300000,1060
30400000,1054
30500000,1078
30600000,1076
